transaction_id,gateway_status,amount,timestamp
txn_51,SUCCESS,478918.95,2026-05-13 23:32:28.380486
txn_52,SUCCESS,298580.87,2026-05-13 23:32:29.380486
txn_53,SUCCESS,106959.97,2026-05-13 23:32:30.380486
txn_54,SUCCESS,188063.76,2026-05-13 23:32:31.380486
txn_55,SUCCESS,204395.8,2026-05-13 23:32:32.380486
txn_56,SUCCESS,172234.32,2026-05-13 23:32:33.380486
txn_57,SUCCESS,498468.02,2026-05-13 23:32:34.380486
txn_58,SUCCESS,123153.96,2026-05-13 23:32:35.380486
txn_59,SUCCESS,153572.27,2026-05-13 23:32:36.380486
txn_60,SUCCESS,451995.28,2026-05-13 23:32:37.380486
txn_61,SUCCESS,355771.42,2026-05-13 23:32:38.380486
txn_62,SUCCESS,149520.95,2026-05-13 23:32:39.380486
txn_63,SUCCESS,453088.68,2026-05-13 23:32:40.380486
txn_64,SUCCESS,240499.76,2026-05-13 23:32:41.380486
txn_66,SUCCESS,473689.99,2026-05-13 23:32:43.380486
txn_67,SUCCESS,197447.42,2026-05-13 23:32:44.380486
txn_68,SUCCESS,404838.31,2026-05-13 23:32:45.380486
txn_69,SUCCESS,130587.34,2026-05-13 23:32:46.380486
txn_70,SUCCESS,240692.19,2026-05-13 23:32:47.380486
txn_71,SUCCESS,176931.62,2026-05-13 23:32:48.380486
txn_73,SUCCESS,201887.88,2026-05-13 23:32:50.380486
txn_74,SUCCESS,226705.67,2026-05-13 23:32:51.380486
txn_75,SUCCESS,76166.69,2026-05-13 23:32:52.380486
txn_76,SUCCESS,237879.54,2026-05-13 23:32:53.380486
txn_77,SUCCESS,33704.74,2026-05-13 23:32:54.380486
txn_78,SUCCESS,475551.54,2026-05-13 23:32:55.380486
txn_79,SUCCESS,322674.07,2026-05-13 23:32:56.380486
txn_80,SUCCESS,484316.83,2026-05-13 23:32:57.380486
txn_81,SUCCESS,436700.4,2026-05-13 23:32:58.380486
txn_82,SUCCESS,309883.9,2026-05-13 23:32:59.380486
txn_83,SUCCESS,88738.18,2026-05-13 23:33:00.380486
txn_85,SUCCESS,496170.22,2026-05-13 23:33:02.380486
txn_86,SUCCESS,285539.2,2026-05-13 23:33:03.380486
txn_87,SUCCESS,14772.64,2026-05-13 23:33:04.380486
txn_88,SUCCESS,453458.6,2026-05-13 23:33:05.380486
txn_90,SUCCESS,494191.55,2026-05-13 23:33:07.380486
txn_92,SUCCESS,378000.23,2026-05-13 23:33:09.380486
txn_93,SUCCESS,157942.35,2026-05-13 23:33:10.380486
txn_95,SUCCESS,437901.51,2026-05-13 23:33:12.380486
txn_96,SUCCESS,397585.81,2026-05-13 23:33:13.380486
txn_99,SUCCESS,98641.82,2026-05-13 23:33:16.380486
txn_100,SUCCESS,277422.87,2026-05-13 23:33:17.380486
txn_102,SUCCESS,220727.54,2026-05-13 23:33:19.380486
txn_103,SUCCESS,200790.5,2026-05-13 23:33:20.380486
txn_104,SUCCESS,393667.12,2026-05-13 23:33:21.380486
txn_105,SUCCESS,112162.02,2026-05-13 23:33:22.380486
txn_106,SUCCESS,388930.9,2026-05-13 23:33:23.380486
txn_107,SUCCESS,417748.38,2026-05-13 23:33:24.380486
txn_108,SUCCESS,437672.05,2026-05-13 23:33:25.380486
txn_109,SUCCESS,61112.06,2026-05-13 23:33:26.380486
txn_110,SUCCESS,9420.35,2026-05-13 23:33:27.380486
txn_112,SUCCESS,23467.11,2026-05-13 23:33:29.380486
txn_113,SUCCESS,477365.17,2026-05-13 23:33:30.380486
txn_114,SUCCESS,221241.3,2026-05-13 23:33:31.380486
txn_115,SUCCESS,496920.93,2026-05-13 23:33:32.380486
txn_116,SUCCESS,453784.32,2026-05-13 23:33:33.380486
txn_117,SUCCESS,193919.84,2026-05-13 23:33:34.380486
txn_118,SUCCESS,48185.83,2026-05-13 23:33:35.380486
txn_119,SUCCESS,50385.42,2026-05-13 23:33:36.380486
txn_120,SUCCESS,28076.31,2026-05-13 23:33:37.380486
txn_121,SUCCESS,192971.11,2026-05-13 23:33:38.380486
txn_122,SUCCESS,422294.86,2026-05-13 23:33:39.380486
txn_123,SUCCESS,240089.36,2026-05-13 23:33:40.380486
txn_124,SUCCESS,130605.48,2026-05-13 23:33:41.380486
txn_125,SUCCESS,47983.74,2026-05-13 23:33:42.380486
txn_126,SUCCESS,144715.77,2026-05-13 23:33:43.380486
txn_127,SUCCESS,199243.18,2026-05-13 23:33:44.380486
txn_128,SUCCESS,26435.94,2026-05-13 23:33:45.380486
txn_129,SUCCESS,241716.75,2026-05-13 23:33:46.380486
txn_130,SUCCESS,376316.58,2026-05-13 23:33:47.380486
txn_131,SUCCESS,340125.96,2026-05-13 23:33:48.380486
txn_132,SUCCESS,237920.21,2026-05-13 23:33:49.380486
txn_133,SUCCESS,459316.25,2026-05-13 23:33:50.380486
txn_134,SUCCESS,444134.48,2026-05-13 23:33:51.380486
txn_135,SUCCESS,433535.01,2026-05-13 23:33:52.380486
txn_136,SUCCESS,126012.96,2026-05-13 23:33:53.380486
txn_137,SUCCESS,477637.08,2026-05-13 23:33:54.380486
txn_138,SUCCESS,434219.64,2026-05-13 23:33:55.380486
txn_139,SUCCESS,154940.51,2026-05-13 23:33:56.380486
txn_140,SUCCESS,292933.1,2026-05-13 23:33:57.380486
txn_142,SUCCESS,439953.97,2026-05-13 23:33:59.380486
txn_143,SUCCESS,104658.86,2026-05-13 23:34:00.380486
txn_146,SUCCESS,271235.04,2026-05-13 23:34:03.380486
txn_147,SUCCESS,341802.05,2026-05-13 23:34:04.380486
txn_148,SUCCESS,138664.52,2026-05-13 23:34:05.380486
txn_149,SUCCESS,373044.85,2026-05-13 23:34:06.380486
txn_150,SUCCESS,227117.54,2026-05-13 23:34:07.380486
txn_151,SUCCESS,202651.8,2026-05-13 23:34:08.380486
txn_153,SUCCESS,251009.65,2026-05-13 23:34:10.380486
txn_154,SUCCESS,57361.01,2026-05-13 23:34:11.380486
txn_155,SUCCESS,403264.32,2026-05-13 23:34:12.380486
txn_156,SUCCESS,290703.22,2026-05-13 23:34:13.380486
txn_157,SUCCESS,417200.33,2026-05-13 23:34:14.380486
txn_158,SUCCESS,219187.9,2026-05-13 23:34:15.380486
txn_160,SUCCESS,67634.44,2026-05-13 23:34:17.380486
txn_161,SUCCESS,93513.09,2026-05-13 23:34:18.380486
txn_162,SUCCESS,104949.85,2026-05-13 23:34:19.380486
txn_163,SUCCESS,47513.19,2026-05-13 23:34:20.380486
txn_164,SUCCESS,217025.87,2026-05-13 23:34:21.380486
txn_165,SUCCESS,66227.94,2026-05-13 23:34:22.380486
txn_166,SUCCESS,212656.08,2026-05-13 23:34:23.380486
txn_167,SUCCESS,31581.27,2026-05-13 23:34:24.380486
txn_168,SUCCESS,237821.85,2026-05-13 23:34:25.380486
txn_169,SUCCESS,422991.56,2026-05-13 23:34:26.380486
txn_170,SUCCESS,283454.05,2026-05-13 23:34:27.380486
txn_171,SUCCESS,295830.48,2026-05-13 23:34:28.380486
txn_172,SUCCESS,311984.98,2026-05-13 23:34:29.380486
txn_173,SUCCESS,290311.73,2026-05-13 23:34:30.380486
txn_176,SUCCESS,280961.59,2026-05-13 23:34:33.380486
txn_177,SUCCESS,45402.98,2026-05-13 23:34:34.380486
txn_178,SUCCESS,39907.2,2026-05-13 23:34:35.380486
txn_179,SUCCESS,9603.06,2026-05-13 23:34:36.380486
txn_180,SUCCESS,310780.57,2026-05-13 23:34:37.380486
txn_181,SUCCESS,467802.17,2026-05-13 23:34:38.380486
txn_184,SUCCESS,215968.98,2026-05-13 23:34:41.380486
txn_185,SUCCESS,352436.65,2026-05-13 23:34:42.380486
txn_186,SUCCESS,203524.9,2026-05-13 23:34:43.380486
txn_187,SUCCESS,359537.86,2026-05-13 23:34:44.380486
txn_188,SUCCESS,159908.49,2026-05-13 23:34:45.380486
txn_190,SUCCESS,381639.74,2026-05-13 23:34:47.380486
txn_191,SUCCESS,253111.39,2026-05-13 23:34:48.380486
txn_192,SUCCESS,412854.56,2026-05-13 23:34:49.380486
txn_193,SUCCESS,233822.7,2026-05-13 23:34:50.380486
txn_194,SUCCESS,63278.65,2026-05-13 23:34:51.380486
txn_195,SUCCESS,54322.42,2026-05-13 23:34:52.380486
txn_196,SUCCESS,360611.48,2026-05-13 23:34:53.380486
txn_197,SUCCESS,355729.58,2026-05-13 23:34:54.380486
txn_198,SUCCESS,304557.31,2026-05-13 23:34:55.380486
txn_199,SUCCESS,410522.81,2026-05-13 23:34:56.380486
