transaction_id,settlement_status,amount,timestamp
txn_38,SETTLED,263104.09,2026-05-13 23:32:15.380486
txn_39,SETTLED,366913.41,2026-05-13 23:32:16.380486
txn_40,SETTLED,381652.61,2026-05-13 23:32:17.380486
txn_41,SETTLED,291494.13,2026-05-13 23:32:18.380486
txn_42,SETTLED,325842.2,2026-05-13 23:32:19.380486
txn_43,SETTLED,495889.04,2026-05-13 23:32:20.380486
txn_44,SETTLED,291996.58,2026-05-13 23:32:21.380486
txn_45,SETTLED,410201.09,2026-05-13 23:32:22.380486
txn_46,SETTLED,223318.87,2026-05-13 23:32:23.380486
txn_47,SETTLED,206906.69,2026-05-13 23:32:24.380486
txn_48,SETTLED,255853.32,2026-05-13 23:32:25.380486
txn_49,SETTLED,343764.8,2026-05-13 23:32:26.380486
txn_50,SETTLED,340506.88,2026-05-13 23:32:27.380486
txn_51,SETTLED,478918.95,2026-05-13 23:32:28.380486
txn_52,SETTLED,298580.87,2026-05-13 23:32:29.380486
txn_53,SETTLED,106959.97,2026-05-13 23:32:30.380486
txn_56,SETTLED,172234.32,2026-05-13 23:32:33.380486
txn_57,SETTLED,498468.02,2026-05-13 23:32:34.380486
txn_59,SETTLED,153572.27,2026-05-13 23:32:36.380486
txn_60,SETTLED,451995.28,2026-05-13 23:32:37.380486
txn_61,SETTLED,355771.42,2026-05-13 23:32:38.380486
txn_63,SETTLED,453088.68,2026-05-13 23:32:40.380486
txn_64,SETTLED,240499.76,2026-05-13 23:32:41.380486
txn_65,SETTLED,212906.27,2026-05-13 23:32:42.380486
txn_66,SETTLED,473689.99,2026-05-13 23:32:43.380486
txn_67,SETTLED,197447.42,2026-05-13 23:32:44.380486
txn_68,SETTLED,404838.31,2026-05-13 23:32:45.380486
txn_70,SETTLED,240692.19,2026-05-13 23:32:47.380486
txn_72,SETTLED,109714.04,2026-05-13 23:32:49.380486
txn_73,SETTLED,201887.88,2026-05-13 23:32:50.380486
txn_74,SETTLED,226705.67,2026-05-13 23:32:51.380486
txn_76,SETTLED,237879.54,2026-05-13 23:32:53.380486
txn_77,SETTLED,33704.74,2026-05-13 23:32:54.380486
txn_80,SETTLED,484316.83,2026-05-13 23:32:57.380486
txn_81,SETTLED,436700.4,2026-05-13 23:32:58.380486
txn_82,SETTLED,344315.44,2026-05-13 23:32:59.380486
txn_83,SETTLED,88738.18,2026-05-13 23:33:00.380486
txn_84,SETTLED,474093.8,2026-05-13 23:33:01.380486
txn_85,SETTLED,496170.22,2026-05-13 23:33:02.380486
txn_86,SETTLED,285539.2,2026-05-13 23:33:03.380486
txn_88,SETTLED,453458.6,2026-05-13 23:33:05.380486
txn_89,SETTLED,325939.13,2026-05-13 23:33:06.380486
txn_90,SETTLED,494191.55,2026-05-13 23:33:07.380486
txn_91,SETTLED,225822.13,2026-05-13 23:33:08.380486
txn_92,SETTLED,378000.23,2026-05-13 23:33:09.380486
txn_93,SETTLED,175491.5,2026-05-13 23:33:10.380486
txn_94,SETTLED,375970.93,2026-05-13 23:33:11.380486
txn_95,SETTLED,437901.51,2026-05-13 23:33:12.380486
txn_96,SETTLED,397585.81,2026-05-13 23:33:13.380486
txn_97,SETTLED,97936.65,2026-05-13 23:33:14.380486
txn_98,SETTLED,212456.85,2026-05-13 23:33:15.380486
txn_100,SETTLED,277422.87,2026-05-13 23:33:17.380486
txn_101,SETTLED,279425.61,2026-05-13 23:33:18.380486
txn_103,SETTLED,223100.56,2026-05-13 23:33:20.380486
txn_104,SETTLED,393667.12,2026-05-13 23:33:21.380486
txn_105,SETTLED,112162.02,2026-05-13 23:33:22.380486
txn_106,SETTLED,388930.9,2026-05-13 23:33:23.380486
txn_108,SETTLED,437672.05,2026-05-13 23:33:25.380486
txn_109,SETTLED,61112.06,2026-05-13 23:33:26.380486
txn_110,SETTLED,9420.35,2026-05-13 23:33:27.380486
txn_112,SETTLED,23467.11,2026-05-13 23:33:29.380486
txn_114,SETTLED,221241.3,2026-05-13 23:33:31.380486
txn_115,SETTLED,496920.93,2026-05-13 23:33:32.380486
txn_116,SETTLED,453784.32,2026-05-13 23:33:33.380486
txn_118,SETTLED,48185.83,2026-05-13 23:33:35.380486
txn_119,SETTLED,50385.42,2026-05-13 23:33:36.380486
txn_120,SETTLED,28076.31,2026-05-13 23:33:37.380486
txn_122,SETTLED,422294.86,2026-05-13 23:33:39.380486
txn_124,SETTLED,130605.48,2026-05-13 23:33:41.380486
txn_125,SETTLED,47983.74,2026-05-13 23:33:42.380486
txn_127,SETTLED,199243.18,2026-05-13 23:33:44.380486
txn_128,SETTLED,26435.94,2026-05-13 23:33:45.380486
txn_129,SETTLED,268574.17,2026-05-13 23:33:46.380486
txn_131,SETTLED,340125.96,2026-05-13 23:33:48.380486
txn_132,SETTLED,264355.79,2026-05-13 23:33:49.380486
txn_133,SETTLED,459316.25,2026-05-13 23:33:50.380486
txn_134,SETTLED,444134.48,2026-05-13 23:33:51.380486
txn_135,SETTLED,433535.01,2026-05-13 23:33:52.380486
txn_136,SETTLED,126012.96,2026-05-13 23:33:53.380486
txn_137,SETTLED,477637.08,2026-05-13 23:33:54.380486
txn_138,SETTLED,434219.64,2026-05-13 23:33:55.380486
txn_139,SETTLED,154940.51,2026-05-13 23:33:56.380486
txn_140,SETTLED,292933.1,2026-05-13 23:33:57.380486
txn_141,SETTLED,400225.78,2026-05-13 23:33:58.380486
txn_142,SETTLED,488837.74,2026-05-13 23:33:59.380486
txn_144,SETTLED,405220.1,2026-05-13 23:34:01.380486
txn_146,SETTLED,271235.04,2026-05-13 23:34:03.380486
txn_147,SETTLED,341802.05,2026-05-13 23:34:04.380486
txn_148,SETTLED,138664.52,2026-05-13 23:34:05.380486
txn_149,SETTLED,414494.28,2026-05-13 23:34:06.380486
txn_150,SETTLED,227117.54,2026-05-13 23:34:07.380486
txn_151,SETTLED,202651.8,2026-05-13 23:34:08.380486
txn_153,SETTLED,251009.65,2026-05-13 23:34:10.380486
txn_154,SETTLED,57361.01,2026-05-13 23:34:11.380486
txn_155,SETTLED,403264.32,2026-05-13 23:34:12.380486
txn_156,SETTLED,290703.22,2026-05-13 23:34:13.380486
txn_157,SETTLED,417200.33,2026-05-13 23:34:14.380486
txn_158,SETTLED,219187.9,2026-05-13 23:34:15.380486
txn_159,SETTLED,151466.32,2026-05-13 23:34:16.380486
txn_160,SETTLED,75149.38,2026-05-13 23:34:17.380486
txn_162,SETTLED,104949.85,2026-05-13 23:34:19.380486
txn_164,SETTLED,217025.87,2026-05-13 23:34:21.380486
txn_165,SETTLED,66227.94,2026-05-13 23:34:22.380486
txn_167,SETTLED,31581.27,2026-05-13 23:34:24.380486
txn_169,SETTLED,422991.56,2026-05-13 23:34:26.380486
txn_170,SETTLED,283454.05,2026-05-13 23:34:27.380486
txn_171,SETTLED,295830.48,2026-05-13 23:34:28.380486
txn_173,SETTLED,290311.73,2026-05-13 23:34:30.380486
txn_174,SETTLED,152483.52,2026-05-13 23:34:31.380486
txn_176,SETTLED,280961.59,2026-05-13 23:34:33.380486
txn_180,SETTLED,310780.57,2026-05-13 23:34:37.380486
txn_181,SETTLED,467802.17,2026-05-13 23:34:38.380486
txn_182,SETTLED,399533.05,2026-05-13 23:34:39.380486
txn_183,SETTLED,194633.75,2026-05-13 23:34:40.380486
txn_184,SETTLED,215968.98,2026-05-13 23:34:41.380486
txn_185,SETTLED,352436.65,2026-05-13 23:34:42.380486
txn_186,SETTLED,203524.9,2026-05-13 23:34:43.380486
txn_187,SETTLED,359537.86,2026-05-13 23:34:44.380486
txn_189,SETTLED,14026.93,2026-05-13 23:34:46.380486
txn_190,SETTLED,381639.74,2026-05-13 23:34:47.380486
txn_191,SETTLED,253111.39,2026-05-13 23:34:48.380486
txn_193,SETTLED,233822.7,2026-05-13 23:34:50.380486
txn_195,SETTLED,54322.42,2026-05-13 23:34:52.380486
txn_196,SETTLED,360611.48,2026-05-13 23:34:53.380486
txn_197,SETTLED,355729.58,2026-05-13 23:34:54.380486
txn_198,SETTLED,304557.31,2026-05-13 23:34:55.380486
txn_200,SETTLED,314012.63,2026-05-13 23:34:57.380486
